,mpl_hostname,mpl_letter,mst_metratio,mpl_discmethod,mpl_pnum,mpl_orbper,mpl_orbsmax,mpl_orbeccen,mpl_orbincl,mpl_massj,mpl_radj,mpl_dens,mpl_eqt,mpl_insol,mst_teff,mst_mass,mst_rad,mst_age,mst_lum,mpl_status
347,HATS-70,b,[Fe/H],Transit,1,1.8882378,0.03632,0.18,86.7,12.9,1.384,6.64,2730.0,9110.0,7930.0,1.78,1.88,0.81,1.079,3
348,HD 23472,b,,Transit,2,17.667,0.121,0.0,,0.05638,,,,,,0.75,0.73,,-0.636,3
349,HD 23472,c,,Transit,2,29.625,0.17,0.0,,0.05405,,,,,,0.75,0.73,,-0.636,3
350,XO-2 N,b,,Transit,1,2.61586178,0.0368,,88.01,0.566,0.993,0.715,,,,0.971,0.99,,,3
351,KMT-2016-BLG-1107L,b,,Microlensing,1,,0.342,,,3.283,,,,,,0.087,,,,3
352,Kepler-1658,b,[m/H],Transit,1,3.84937278,0.0544,0.0628,76.52,5.88,1.07,6.36,,,6216.0,1.447,2.89,,,3
353,HD 1605,b,[Fe/H],Radial Velocity,2,577.2,1.492,0.095,,,,,,,4915.0,1.33,3.49,4.36,0.81,3
354,HD 164509,b,[Fe/H],Radial Velocity,1,280.17,0.87,0.238,,,,,,,5859.0,1.12,1.11,2.32,0.12,3
355,HD 171238,b,[Fe/H],Radial Velocity,1,1532.0,2.57,0.234,,,,,,,5440.0,0.96,1.01,7.56,-0.09,3
356,HD 179079,b,[Fe/H],Radial Velocity,1,14.479,0.1214,0.049,,,,,,,5646.0,1.14,1.63,6.99,0.38,3
357,HD 203473,b,[Fe/H],Radial Velocity,1,1552.9,2.73,0.289,,,,,,,5780.0,1.12,1.33,5.22,0.25,3
358,HD 207832,b,[Fe/H],Radial Velocity,2,160.07,0.586,0.197,,,,,,,5726.0,1.05,0.89,1.36,-0.11,3
359,HD 211810,b,[Fe/H],Radial Velocity,1,1558.0,2.656,0.68,,,,,,,5652.0,1.03,1.13,,0.07,3
360,HD 214823,b,[Fe/H],Radial Velocity,1,1854.4,3.23,0.1641,,,,,,,5933.0,1.31,2.04,4.34,0.67,3
361,HD 217850,b,[Fe/H],Radial Velocity,1,3501.3,4.56,0.7621,,,,,,,5544.0,1.03,1.21,7.59,0.1,3
362,HD 219828,c,[Fe/H],Radial Velocity,2,4682.0,5.79,0.8102,,,,,,,5807.0,1.18,1.61,5.69,0.42,3
363,HD 219828,b,[Fe/H],Radial Velocity,2,3.83492,0.0507,0.101,,,,,,,5807.0,1.18,1.61,5.69,0.42,3
364,HD 224693,b,[Fe/H],Radial Velocity,1,26.6904,0.191,0.104,,,,,,,5894.0,1.31,1.93,4.12,0.61,3
365,HD 231701,b,[Fe/H],Radial Velocity,1,141.63,0.567,0.13,,,,,,,6101.0,1.21,1.53,3.43,0.47,3
366,HD 33283,b,[Fe/H],Radial Velocity,1,18.1991,0.1508,0.399,,,,,,,5935.0,1.38,1.97,3.63,0.64,3
367,HD 37605,b,[Fe/H],Radial Velocity,2,55.01292,0.277,0.6745,,,,,,,5329.0,0.94,0.91,5.65,-0.22,3
368,HD 37605,c,[Fe/H],Radial Velocity,2,2720.0,3.74,0.03,,,,,,,5329.0,0.94,0.91,5.65,-0.22,3
369,HD 43691,b,[Fe/H],Radial Velocity,1,36.9987,0.238,0.0796,,,,,,,6093.0,1.32,1.6,2.39,0.5,3
370,GJ 317,c,,Radial Velocity,2,5312.0,,0.308,,,,,,,,0.24,,,,3
371,HD 33142,c,,Radial Velocity,2,834.0,,0.05,,,,,,,,1.62,,,,3
372,HD 219666,b,[Fe/H],Transit,1,6.03607,0.06356,0.0,86.38,0.05223,0.42,0.87,1073.0,,5527.0,0.92,1.03,10.0,,3
373,HD 1397,b,[Fe/H],Transit,1,11.53533,0.1097,0.251,88.99,0.415,1.026,0.477,1228.0,356.0,5521.0,1.324,2.34,4.51,0.66,3
374,GJ 411,b,[Fe/H],Radial Velocity,1,12.9532,0.0785,0.22,,,,,350.0,,3563.0,0.386,0.39,,-1.658,3
375,WASP-190,b,[Fe/H],Transit,1,5.367753,0.0663,0.0,87.1,1.0,1.15,,1500.0,,6400.0,1.35,1.6,,,3
376,Gl 378,b,[Fe/H],Radial Velocity,1,3.822,0.039435,0.109,,,,,830.0,,3879.0,0.56,0.56,,-1.222,3
377,PDS 70,b,,Imaging,2,43500.0,22.0,,,8.0,1.3,,1200.0,,3972.0,0.76,1.26,0.005,-0.456,3
378,HD 45652,b,[Fe/H],Radial Velocity,1,44.073,0.237,0.607,,,,,,,5294.0,0.92,0.94,8.4,-0.2,3
379,HD 55696,b,[Fe/H],Radial Velocity,1,1827.0,3.18,0.705,,,,,,,6012.0,1.29,1.52,2.64,0.43,3
380,HD 75898,b,[Fe/H],Radial Velocity,1,422.9,1.191,0.11,,,,,,,5963.0,1.26,1.58,3.56,0.46,3
381,HD 79498,b,[Fe/H],Radial Velocity,1,1807.0,2.98,0.575,,,,,,,5748.0,1.08,1.05,2.71,0.03,3
382,HD 86081,b,[Fe/H],Radial Velocity,1,2.1378431,0.0346,0.0119,,,,,,,5939.0,1.21,1.46,3.61,0.38,3
383,HD 98736,b,[Fe/H],Radial Velocity,1,968.8,1.864,0.226,,,,,,,5271.0,0.92,0.93,7.39,-0.22,3
384,HIP 14810,b,[Fe/H],Radial Velocity,3,6.673892,0.0696,0.14399,,,,,,,5544.0,1.01,1.07,5.84,-0.01,3
385,HIP 14810,c,[Fe/H],Radial Velocity,3,147.747,0.549,0.1566,,,,,,,5544.0,1.01,1.07,5.84,-0.01,3
386,HIP 14810,d,[Fe/H],Radial Velocity,3,981.8,1.94,0.185,,,,,,,5544.0,1.01,1.07,5.84,-0.01,3
387,Kepler-1656,b,[Fe/H],Transit,1,31.578659,0.197,0.836,89.31,0.15291,0.448,2.13,651.0,,5731.0,1.03,1.1,6.31,,3
388,HD 99706,c,,Radial Velocity,2,1278.0,,0.411,,,,,,,,1.72,,,,3
389,HD 102329,c,,Radial Velocity,2,1123.0,,0.209,,,,,,,,1.3,,,,3
390,HD 114783,c,,Radial Velocity,2,4319.0,,0.0,,,,,,,,0.853,,,,3
391,HD 116029,c,,Radial Velocity,2,907.0,,0.038,,,,,,,,1.33,,,,3
392,HD 156279,c,,Radial Velocity,2,4191.0,,0.231,,,,,,,,0.93,,,,3
393,KMT-2017-BLG-1038L,b,,Microlensing,1,,1.8,,,2.0,,,,,,0.37,,,,3
394,KMT-2017-BLG-1146L,b,,Microlensing,1,,1.6,,,0.71,,,,,,0.33,,,,3
395,HD 3651,b,,Radial Velocity,1,62.25,0.295,0.645,,,,,,,5221.0,0.799,,,,3
396,HD 7449,b,,Radial Velocity,1,1255.5,2.38,0.92,,,,,,,6024.0,1.053,,,,3
397,HD 52265,b,,Radial Velocity,1,119.27,0.52,0.27,,,,,,,6136.0,1.204,,,,3
398,HD 65216,b,,Radial Velocity,2,577.6,1.301,0.27,,,,,,,5612.0,0.874,,,,3
399,HD 65216,c,,Radial Velocity,2,5370.0,5.75,0.17,,,,,,,5612.0,0.874,,,,3
400,HD 85390,b,,Radial Velocity,1,799.52,1.373,0.5,,,,,,,5186.0,0.758,,,,3
401,HD 89744,b,,Radial Velocity,1,256.78,0.917,0.677,,,,,,,6291.0,1.86,,,,3
402,HD 117618,b,,Radial Velocity,1,25.8,0.18,0.15,,,,,,,5990.0,1.077,,,,3
403,K2-18,b,[Fe/H],Transit,2,32.939623,0.1429,0.2,,0.02807,0.211,4.11,284.0,,3457.0,0.359,0.41,,,3
404,K2-120,b,,Transit,1,9.562742,0.078,0.14,89.57,,0.179,,,35.1,4349.9,0.6947,0.67,,,3
405,K2-265,b,[Fe/H],Transit,1,2.369172,0.03376,0.084,87.7,0.02058,0.153,7.1,,,5477.0,0.915,0.98,9.7,,3
406,NGTS-2,b,[Fe/H],Transit,1,4.511164,0.063,0.0,88.5,0.74,1.595,0.226,1468.0,,6478.0,1.64,1.7,2.17,,3
